No;Nama Organisasi;;Profil Organisasi;Alamat Organisasi;"Kontak Lembaga/
Kontak Layanan";Email Lembaga;Layanan Yang Diberikan;
11;Yayasan Savy Amira Sahabat Perempuan;;"Yayasan Savy Amira Sahabat Perempuan (bahasa Inggris: Savy Amira Women's Companion Foundation), adalah sebuah organisasi nirlaba yang didirikan oleh 3 perempuan  pada tanggal 25 November 1997, terdaftar secara resmi di bawah Kementerian Hukum dan Hak Asasi Manusia Republik Indonesia, No. AHU-AH. 01.06.0005761, dan terdaftar di Dinas Sosial Pemerintah Kota Surabaya, No. 466.3/12665/436.7.7/2019 
Kegiatan: 
•Pendampingan psikologis, hukum, pada individu korban KBG, dan komunitas penyintas melalui Kebun Pemulihan di Gresik bekerja sama dengan PW Fatayat NU Jawa Timur, beasiswa belajar bagi anak penyintas KDRT, 
•Peningkatan kapasitas: pelatihan bagi pendamping penyintas KBG dan mahasiswa 
•Advokasi: pencegahan kekerasan seksual di PT dan membangun sistem PPKS di Sekolah 
•Fundraising";Rungkut Barata UA no. 3, Gunung Anyar, Rungkut Menanggal, Kota Surabaya, Jawa Timur;";085100284788";savyamira1997@gmail.com;";Konsultasi hukum
;Konseling dengan psikolog
;Pendampingan hukum (Litigasi)";
12;KOALISI PEREMPUAN RONGGOLAWE (KP.RONGGOLAWE);;"1. Latar belakang berdirinya KP.Ronggolawe 
Koalisi Perempuan Ronggolawe kemudian disebut dengan KP.Ronggolawe merupakan lembaga swadaya masyarakat yang independen tidak partisan politik prakris juga tidak mendahulukan kepentingan profit oriented serta bergerak pada isu Perempuan dan Anak. KP.Ronggolawe berdiri sejak tahun 2004 - sekarang. Alamat kantor berada di Perumahan Siwalan Permai Blok C-3 Desa Kembangbilo Kecamatan Tuban Kabupaten Tuban. Email; kpronggolawe@gmail.com No.telp 0356-883815. Yang mempunyai 4 devisi yakni Devisi Advokasi, Devisi Pendidikan, Devisi Pengembangan Ekonomi dan devisi Bantuan Hukum Bagi Masyarakat Miskin. Dalam melakukan aktivitasnya KP.Ronggolawe berjejaring dengan lembaga pemerintah, Dunia Usaha, Jaringan LSM yang memiliki visi dan misi sama dan lembaga internasional  baik ditingkat local, nasional maupun internasional. 
 
Latar belakang berdirinya KP.Ronggolawe berawal dari Beberapa elemen aktifis perempuan dari gerakan mahasiswa di Kabupaten Tuban yang melihat realitas telah terjadi kesenjangan peran dan fungsi terhadap kelompok perempuan. Beberapa data yang bersifat kasuistik menunjukkan adanya diskriminasi terhadap perempuan sehingga mengakibatkan pertumbuhan disektor ekonomi tingkat desa terhambat, perlakuan terhadap perempuan dan anak yang tidak adil dalam ranah hukum, kemandulan fungsi kontrol, keterlibatan perempuan dalam kebijakan publik hampir tidak ditemukan dan stereotipe yang mengkoncowingkingkan perempuan sangat mengakar di sandi-sandi pusaran kehidupan bermasyarakat. Maka pada tanggal 14 Februari tahun 2004 dengan penuh pertimbangan dan harapan KP.Ronggolawe resmi di deklarasikan di Hotel Purnama Jln. Raya Semarang Kabupaten Tuban. 
 
Akte notaris Nomor 09 tahun 2015 (perubahan dari tahun 2005) oleh Miqdarulridho, SH. Dan telah terdaftar di Kementerian Hukum dan Hak Asasi Manusia Republik Indonesia dengan nomor AHU-0032628.AH.01.04.Tahun 2015. 
KP.Ronggloawe yang memiliki komitmen melakukan advokasi kebijakan publik, pendampingan korban kekerasan perempuan dan anak, pendidikan alternatif berbasis gender, mendorong kemandirian perempuan diwilayah pedesaan, pemberdayaan masyarakat untuk memastikan kemandirian mengembangkan pertumbuhan ekonomi pedesaan, penyuluhan dan pemberdayaan hukum serta bantuan hukum bagi masyrakat marginal. 
 
Strategi pendekatan yang dilakukan oleh KP.Ronggolawe adalah partisipatoris perempuan dengan tujuan agar perempuan mampu mengejar ketertinggalan yang diakibatkan oleh konstruksi patriarkhi yang menempatkan posisi perempuan menjadi timpang baik dalam akses dan kontrol terhadap sumberdaya ekonomi, politik, HAM, sosial dan budaya.
 
2. Visi dan Misi
Visi
Terbangunnya kesamaan peran gender dalam mendapatkan Hak serta akses ekonomi, sosial, politik, Hak Asasi Manusia (HAM) dan budaya secara adil serta mengangkat martabat perempuan.
 
Misi
1.         Melibatkan perempuan dalam tiap-tiap kebijakan publik;
2.         Mengembangkan Sumber Daya Alam dan sumber daya manusia khususnya perempuan melalui pelatihan, pendampingan, seminar dan kampanye;
3.         Mewujudkan pendidikan alternatif dan non formal sebagai pintu masuk untuk mencerdaskan kehidupan masyarakat menuju kesejahteraan dan kesetaraan gender;
4.         Advokasi dan pendampingan terhadap korban kekerasan anak dan perempuan secara terpadu.
 
3. Tujuan, Strategi dan Ruang Lingkup KP.Ronggolawe
A. Tujuan Koalisi Perempuan Ronggolawe Didirikan
1.         Melakukan pemberdayaan sosial ekonomi untuk meningkatkan Sumber Daya Manusia (SDM) dan pendapatan keluarga marginal;
2.         Membangun, pendampingi dan merawat jaringan komunitas;
3.         Menjadikan masyarakat khususnya perempuan peka terhadap kondisi sisoal yang bersinergi dengan isu politik, budaya, perlindungan kekerasan terhadap perempuan dan anak, serta pendidikan hak asasi manusia;
4.         Berperan sebagai lembaga kemitraan dalam upaya pengembangan usaha produktif serta demokratisasi ekonomi berkelanjutan;
5.         Menjaga dan merawat serta memperluas jaringan kemitrian yang memiliki visi dan misi yang sama.
 
B. Strategi
Untuk mewujudkan visi, misi dan tujuan, maka stategi dan fokus pekerjaan KP.Ronggolawe adalah :
1.         Meningkatkan kemampuan Sumber Daya Manusia (SDM) lembaga melalui pengembangan kapasitas intelektual, professional, dan menumbuhkan komitmen paradikma serta ideologis kelembagaan;
2.         Melakukan pendampingan berkelanjutan kepada masyarakat khusunya perempuan sebagai ladang sumber daya ekonomi, meningkatkan posisi tawar yang strategis, dan menumpuhkan kesadaran kritis atas pelestarian Sumber Daya Alam (SDA) sebagai ketahan hidup;
3.         Memperluas dan membangun jaringan kelompok civil society dalam rangka gerakan demokratisasi serta aliansi jaringan strategis baik dengan Perguruan Tinggi, jaringan LSM, pemerintah, funding agency, dan pihak lain yang selaras dengan visi dan misi lembaga.
 
C. Lingkup Program                                            
1.         Layanan pendampingan hukum diluar pengadilan dan litigasi pada peperempuan dan anak Korban Kekerasan;
2.         Advokasi kebijakan public baik di Desa, Kabupaten, Profinsi dan Pusat;
3.         Pendidikan life skill;
4.         Pendidikan alternatif;
5.         Pemberdayaan dan Pendampingan komunitas berkelanjutan;
6.         Bantuan hukum cuma-cuma bagi warga miskin.";Perumahan Siwalan Permai Blok C-3, Kembangbilo, Tuban, Jawa Timur;";0356- 8838165
;081330423718";kpronggolawe@gmail.com;";Pemberdayaan Ekonomi
;Pendampingan hukum (Litigasi)
;Konsultasi hukum
;Rumah aman
;Konseling dengan konselor komunitas
;Mediasi
;Konseling dengan psikolog";
13;Aliansi Perempuan Sulawesi Tenggara (Alpen Sultra);;"Alpen Sultra merupakan salah satu NGO lokal pertama yang ada di sulawesi tenggara pada bidang pemberdayaan perempuan dan perlindungan anak. ALPEN SULTRA didedikasikan untuk mempertahankan dan berkampanye untuk hak-hak perempuan dan memiliki komitmen untuk bekerja ke arah penghapusan semua diskriminasi, eksploitasi dan kekerasan terhadap perempuan di Sulawesi Tenggara.
beberapa bidang kerja yang ada di alpen sultra yaitu ekonomi, advokasi, lingkungan dan kesehatan";btn Az-zharna blok A No.14, wundumbatu, Poasia, Kendari, Sulawesi Tenggara;";082252308678";alpen.sultra@gmail.com;";Pemberdayaan Ekonomi
;Rumah aman
;Konseling dengan konselor komunitas";
14;APeL ( Aliansi Perempuan Lamongan);;"APel adalah lembaga swadaya masyarakat yang berdiri tahun 2007 yang konsen pada pemberdayaan perempuan dan pendampingan  bagi perempuan dan anak korban kekerasan Aliansi Perempuan Lamongan (APEL) merupakan sebuah organisasi perempuan yang dibentuk oleh sebuah kesepakatan bersama oleh beberapa dari Personal sahabat, teman, rekan atau kawan yang sudah konsen elemen yang konsen dalam organisasi perempuan di Lamongan pada tanggal 13 Oktober 2003 dan telah terlegalkan dengan Akte Notaris Lembaga Nomor 08/2006/PN.LAMONGAN (Terdaftar, tanggal 05 Mei 2006).
Dalam perjalanan APEL telah bermitra dengan lembaga swadaya Jawa Timur pada program-program, salah satunya yakni program “Peningkatan partisipasi kelompok perempuan Miskin dalam Pengambilan Keputusan Publik di tingkat Desa dan Kabupaten untuk meningkatkan anggaran yang Responsive Gender di Kabupaten Lamongan Tahun 2010 – 2012”.
 Dari program-program inilah menjadi semangat teman-teman untuk lebih dekat pada kelompok perempuan di Pedesaan dan dengan program ini juga dapat terbentuk, kelompok yang terakhir terbentuk yakni Komunitas APeL (KOPEL), yang terdiri dari anak muda wilayah yang penduli akan perempuan dan anak.
Selama berdirinya Aliansi Perempuan Lamongan ini, sedikit banyak berkontribusi pada kabupaten pada pendampingan korban kekerasan seksual pada perempuan dan anak, mensosialisasikan desa ramah anak";Jl Kusuma bangsa GG Kertanegara RT 04 RW 06, Tumenggung Baru, Lamongan, Jawa Timur;";085232594166";aliansi.perempuan.lamongan.jatim@gmail.com;";Pemberdayaan Ekonomi
;Rumah aman
;Konseling dengan konselor komunitas
;Pendampingan spritual";
15;wcc Pasundan Durebang;;"Pasundan-Durebang Women’s Crisis Center (WCC Pasundan Durebang) merupakan lembaga penyedia layanan pemulihan dan advokasi bagi korban kekerasan berbasis gender yang berdiri tanggal 9 Maret 2013. Visi  WCC Pasundan Durebang adalah terpenuhinya hak-hak  korban kekerasan berbasis gender atas kebenaran, keadilan, pemulihan,  sebagai perwujudan atas upaya penghapusan segala bentuk kekerasan berbasis gender melalui pelaksanaan tanggungjawab negara, perubahan kondisi sosial yang lebih berkeadilan dan pemberdayaan korban kekerasan berbasis gender, khususnya perempuan korban dan perempuan pekerja migran yang mengalami kekerasan. Misi WCC Pasundan Durebang: 
1. melakukan berbagai upaya untuk mencegah dan menangani kekerasan berbasis gender
2. mendorong adanya ketersediaan mekanisme rujukan dan sistem layanan yang berperspektif kesetaraan gender, disabilitas dan inklusi sosial (GEDSI), holistik dan komprehensif sesuai kebutuhan korban
3. memperkuat kapasitas dan profesionalitas WCC Pasundan Durebang
4. mendorong tanggung jawab negara atas pemenuhan hak-hak asasi warga negara khususnya perempuan dan kelompok rentan lainnya.";Jl. Dewi Sartika No.119, Pungkur, Regol, Kota Bandung, Jawa Barat;";    +62 22 520 87 523";wcc.pasundandurebang@gmail.com;";Konseling dengan psikolog
;Rumah aman
;Layanan medis
;Konsultasi hukum
;Konseling dengan konselor komunitas
;Pemberdayaan Ekonomi
;Evakuasi
;pendampingan hukum bekerja sama dengan lembaga bantuan hukum";
16;Relawan Perempuan untuk Kemanusian (RPuK)Aceh;;"Tim Relawan Perempuan untuk Kemanusiaan (RPuK) merupakan organisasi non pemerintah berbentuk perkumpulan, yang didirikan pada tanggal 2 Juni 1999 bertepatan dengan terjadinya pengungsian di beberapa daerah di Aceh, akibat konflik bersenjata antara Gerakan Aceh Merdeka (GAM) dengan Pemerintah Republik Indonesia (RI).
 
Terjadinya bencana alam tsunami pada 26 Desember 2004 dan kesepakatan perdamaian antara RI dan GAM pada 15 Agustus 2005, mempengaruhi secara keseluruhan kehidupan sosial politik dan budaya di Aceh yang juga berdampak cukup signifikan bagi Perempuan dan anak. Untuk itu sejak Januari 2009, RPuK memfokuskan diri pada penguatan posisi tawar perempuan dan anak di pedesaan, melalui kegiatan-kegiatan pengorganisasian masyarakat, pelatihan-pelatihan dan penggalangan dukungan publik, serta kegiatan pengembangan ekonomi kerakyatan.";Jln. T. Benu No.3B Punge Blang Cut Banda Aceh, Punge BlangCut, Jaya Baru, Banda Aceh, Aceh;-;relawanperempuan.rpuk@gmail.com;";Pemberdayaan Ekonomi
;Mediasi
;Konsultasi hukum";
17;LBH APIK BANTEN;;"LBH APIK Banten adalah Lembaga Bantuan Hukum yang memberikan layanan pendampingan hukum untuk perempuan miskin dan anak, terutama yang mengalami ketidakadilan gender. Beralamat di kota Serang. 
 
LBH Apik Banten adalah LBH ke 16 dari seluruh LBH Apik yg ada di hampir seluruh Indonesia dibawah Asosiasi LBH Apik Indonesia yang berkedudukan di Jakarta. Berdasarkan akta Notaris, LBH Apik didirikan pada tanggal 27 Februari 2014 oleh delapan perempuan dan dua laki-laki. 
 
Sampai saat ini LBH Apik Banten memiliki 4 orang pengurus sebagai pelaksana program, dengan satu orang sebagai pengacara. Kasus yang ditangani adalah Kekerasan dalam Rumah Tangga (KDRT), perceraian berdimensi kekerasan, pelecehan seksual dan lain-lain.
 
Dalam menangani kasus, terutama kasus kekerasan seksual, LBH APIK Banten sering bekerjasama dengan beberapa lembaga/organisasi lainnya yang terbentuk dalam jaringan. Kegiatan lainnya terlibat dalam berbagai jaringan lainnya seperti Koalisi Masyarakat Sipil Banten (KMSB) dimana LBH Apik Banten berfokus pada isu kekerasan terhadap perempuan dan anak, beserta lembaga perempuan lainnya.";Tidak Memiliki Kantor Fisik maupun virtual;";089507348930";lbhapik-banten@gmail.com;";Konsultasi hukum
;Pendampingan hukum (Litigasi)
; Mediasi";
18;LPP SEKAR JEPARA;;LPP SEKAR JEPARA concern melakukan pendampingan perlindungan perempuan dan anak. LPP SEKAR JEPARA memberikan pelayanan pendampingan hukum, konsultasi hukum, konsultasi psikologis dengan psikolog, dan perlindungan rumah shelter untuk korban. yang kesemuanya telah dijalankan dari tahun 2006 sampai sekarang.;Tidak Memiliki Kantor Fisik maupun virtual;";(0291)7512371
;081325627052";sekarjepara@yahoo.co.id;";Pendampingan hukum (Litigasi)
;Rumah aman
;Pemberdayaan Ekonomi
;Mediasi
;Konseling dengan psikolog
;Konsultasi hukum";
19;YLBH PIK;;"YLBH PIK didirkan pada tanggal 18 Januari 1997 di Pontianak, dengan kegiatan:
1.Bantuan Hukum kepada perempuan dan anak yang mengalami tindakan kekerasan fisik, Sexual,perdagangan manusia dan menjurus pada pelanggaran hak asasi manusia
2. Penyadaran hukum tentang Hak Asasi Perempuan dan anak yang bekerja sama dengan berbagai pihak di komunitas rentan.
3. Kampanye dan sosialisasi tentang peraturan perundang undangan tentang perempuan dan anak.";Alianyang 12A, Sei Bangkong, Pontianak Barat, Pontianak;";081256086601";apik_ptk@yahoo.com;";Mediasi
;Pendampingan hukum (Litigasi)
;Pemberdayaan Ekonomi
;Konsultasi hukum";
20;Lembaga Advokasi Anak (LAdA) Damar Lampung;;LAdA-Damar adalah sebuah organisasi sosial yang berada di bawah sebuah perkumpulan DAMAR. Perkumpulan DAMAR  didirikan pada tanggal 23 Desember 1999 dan didaftarkan melalui akte notaris Erdy Muluk, SH pada tanggal 23 Desember 1999. dan telah di amandemen pada 30 April 2010 dengan nomor 70 melalui akte notaries Erdy Muluk,S.H.;Jalan Badak No. 8/10, Sidodadi, Kedaton, Bandar Lampung, Lampung;";082130366603";lada.damar@gmail.com;";Konseling dengan konselor komunitas
;Konsultasi hukum
;Pendampingan hukum (Litigasi)
;Mediasi
;konseling dengan psikolog
;pemberdayaan ekonomi
;layanan medis
;evakuasi
;rumah aman
;merujuk atau berkolaborasi dengan lembaga layanan lain/negara";
21;Lembaga pemberdayaan perempuan (LPP) Bonene;;Lembaga pemberdayaan perempuan (LPP)Bone berdiri sejak 1998 yang konsen terhadap isu perempuan dan anak.kemiskinan  dan isi kelompok rentan lainnya untuk mewujudkan kesetaraan dan keadilan gender .LPP Bone didirikan sebagai respon dari persoalan ketidak adilan gender dan diskriminasi yang terus dialami perempuan dan anak di kabupaten Bone.  Melihat situasi dan kondisi yang terjadi pada kaum perempuan harus dilihat secara saksama karena persoalan diskriminasi, kekerasan dan eksploitasi terhadap perempuan bukanlah dilakukan perorangan saja melainkan sistem yang turut berperan dalam memunculkan budaya kekerasan dan eksploitasi, baik sisi ekonomi, sosial, politik, maupun hukum.  Jadi, LPP Bone memandang  perlu untuk melakukan perubahan baik perilaku maupun pola pikir melalui program-program yang lebih inovatif, kolaboratif, inklusif, partisipatif dan berkomitmen antara pemerintah dan instansi terkait, swasta, masyarakat dan LSM lainnya;Jalan Andi Malla No.4, Biru, Tanete Riattang, Bone, Sulawesi Selatan;";081355132536";andir9738@gmail.com;";Layanan medis
;Konsultasi hukum
;Pendampingan hukum (Litigasi)";
22;Yayasan Sanggar Suara Perempuan;;Sanggar Suara Perempuan adalah organisasi nirlaba berbentuk yayasan, berfungsi memberikan pelayanan, memediasi, memfasilitasi, melakukan pendampingan dan pengorganisasian kepada perempuan dan anak korban kekerasan serta melakukan pemberdayaan kepada masyarakat termarjinal di  NTT, mengembangkan jaringan dengan berbagai pihak yang terkait dengan dukungan dana dari lembaga donor, usaha mandiri, kontribusi masyarakat, Pemerintah Daerah, swasta yang tidak mengikat dan tidak bertentangan dengan visi dan misi lembaga.;Jl. Beringin No.1, Kesetnana, Mollo Selatan, Timor Tengah Selatan, Nusa Tenggara Timur;";0388-21889
;085239299900
;081239849306";sspsoe3@gmail.com;";Konsultasi hukum
;Rumah aman
;Konseling dengan konselor komunitas
;Pendampingan hukum (Litigasi)
;Mediasi
;Layanan medis";
23;Aliansi Sumut Bersatu;;Aliansi Sumut Bersatu (ASB) dibentuk sejak tahun 2006 hingga sekarang yang konsisten dan fokus melakukan upaya-upaya penguatan agar masyarakat dan pemerintah memahami, menyadari dan menghormati betapa pentingnya pluralisme sebagai bagian dari kehidupan. Selain itu, melihat banyaknya kasus-kasus kekerasan seksual yang terjadi terhadap Perempuan dan anak di Indonesia khususnya di Sumatera Utara, sejak tahun 2015 ASB juga konsisten dan fokus melakukan pendampingan terhadap korban kekerasan seksual untuk pemulihan mental atau psikologis korban serta menyediakan shelter atau rumah aman tempat tinggal sementara bagi korban kekerasan seksual.;Jalan Bunga Kantil, No.156, Padang bulan selayang II, Medan Selayang, Kota Medan, Sumatera Utara;";082168371841";sumutbersatualiansi@gmail.com;";Konseling dengan konselor komunitas
;Konsultasi hukum
;Konseling dengan psikolog
;Rumah aman";
24;Lembaga Advokasi Perempuan DAMAR;;"Lembaga Advokasi Perempuan DAMAR merupakan salah satu lembaga eksekutif yang dideklarasikan pada 10 Februari 2000 dibawah naungan Perkumpulan DAMAR. Didirikan atas perwujudan dari rasa keprihatinan dan kecemasan terhadap situasi ketidakadilan, diskriminasi, eksploitasi dan kekerasan yang terjadi khususnya pada perempuan. 
Lembaga Advokasi Perempuan DAMAR mempunyai visi terwujudnya pemenuhan hak dasar perempuan agar tercipta tatanan masyarakat yang demokratis, menuju  keadilan  untuk semua (perempuan dan laki-laki). Ada 3 Misi yang dirumuskan : meningkatnya pemahaman dan kepedulian pemerintah daerah dan masyarakat tentang hak dasar perempuan, menguatnya basis dalam melakukan advokasi hak dasar perempuan sebagai bagian dari gerakan sosial, meningkatnya kapasitas organisasi dan kelembagaan Lembaga Advokasi Perempuan DAMAR dan Perkumpulan DAMAR sebagai organisasi yang independen dalam mewujudkan transparansi, akuntabilitas, dan kinerjanya. Strategi yang dilakukan Lembaga Advokasi Perempuan DAMAR dalam membangun gerakan yaitu melalui, pertama kajian dan pendidikan publik program ini dilakukan untuk memetakan persoalan hak dasar perempuan (hak kesehatan, pendidikan dan politik, ekonomi dan anti kekerasan), kedua penguatan jaringan ini dilakukan untuk penguatan masyarakat sipil, khususnya perempuan marginal melalui pendidikan kritis, pengorganisasian, penguatan dan konsolidasi organisasi perempuan lintas wilayah se-Lampung, ketiga penguatan organisasi program ini dilakukan untuk meningkatkan kualitas staf/pelaksana program dan pengurus serta sebagai supporting system pelaksana program.";Jl. MH Thamrin No 14, Gotong Royong, Tanjung Karang Pusat, Kota Bandar Lampung, Lampung;";0721264550
;082134394119";lembagaadvokasidamar@gmail.com;";Konsultasi hukum
;Pendampingan hukum (Litigasi)
;Konseling dengan konselor komunitas
;Pendampingan Non Litigasi (Medis, Psikolog) agar korban memperoleh akses layanan yang dibutuhkan";
25;Sahabat Perempuan;;"Sahabat Perempuan lembaga non profit yg bergerak di pendampingan perempuan dan anak korban kekerasan berbasis gender di Kabupaten Magelanf. 
Visi: Terwujudnya masyarakat yg berkeadilan gender, egaliter, demokratis, dan bebas daru segala bentuk kekerasan.
Misi: 
1. Membangun kesadaran masyarakat yang menentang segala bentuk kekerasan terhadap perempuan termasui nilai dan pola perilaku yang tidak berkeadilan gender
2. Mempengaruhi perubahn kebijakan yang mengarah pada penghapisan segala bentuk kekerasan terhadap perempuan.";Dusun Dangean Rt 04 Rw 01, Desa Gulon, Kecamatan Salam, Kabupaten Magelang, Jawa Tengah;";(0293) 585573";sahabat_perempuan2004@yahoo.com;";Konseling dengan konselor komunitas
;Pendampingan hukum (Litigasi)
;Konsultasi hukum, Mediasi";
26;HAPSARI (Himpunan Serikat Perempuan Indonesia);;"Himpunan Serikat Perempuan Indonesia, dikenal sebagai HAPSARI, adalah organisasi non pemerintah (ornop) berbasis keanggotaan berbentuk federasi. Anggota HAPSARI adalah serikat atau perkumpulan perempuan di tingkat kabupaten/kota. Didirikan pada tanggal 14 Maret 1990 di Desa Sukasari Kecamatan Perbaungan Sumatera Utara yang pada awal berdirinya adalah Kelompok Kerja Perempuan Desa. HAPSARI ketika itu memulai aktifitas dengan mendirikan Sanggar Belajar Anak bernama “Harapan Desa Sukasari”. Dari sinilah muncul akronim “HAPSARI” yang kemudian digunakan sebagai nama lembaga hingga saat ini
 
Pada tahun 1997 HAPSARI berbadan hukum dalam bentuk yayasan. Sejak itu HAPSARI mulai memperluas wilayah pengorganisasian dengan strategi membangun organisasi sebagai media penguatan perempuan. Tahun 1999 seluruh kelompok perempuan yang menjadi dampingan HAPSARI didorong dan difasilitasi membangun organisasinya sendiri, bernama Serikat Perempuan Independen (SPI) Sumatera Utara.
 
Tahun 2001, HAPSARI dan SPI Sumut menyatukan diri dalam satu organisasi dengan bentuk yang baru menjadi federasi dengan nama HAPSARI-Federasi Serikat Perempuan Merdeka (HAPSARI-FSPM) dan berbadan hukum perkumpulan. Tahun 2004 nama Federasi Serikat Perempuan Merdeka (FSPM) dirubah menjadi Himpunan Serikat Perempuan Indonesia dan disebut HAPSARI hingga saat ini.
 
Visi HAPSARI adalah; “Terwujudnya masyarakat yang adil dan sejahtera tanpa ada penindasan antara perempuan dan laki-laki dengan memberikan penghargaan yang sama terhadap hak-hak yang dimiliki oleh perempuan dan laki-laki”. 
 
Misi HAPSARI adalah: 
a.         Melakukan penumbuhan dan penguatan gerakan perempuan, sebagai bagian dari gerakan rakyat untuk melakukan perubahan sosial budaya dan politik yang berkeadilan di Indonesia.
b.         Menumbuhkan dan menguatkan kepemimpinan politik perempuan lokal, sebagai bagian dari kekuatan politik perempuan nasional.
c.          Melakukan berbagai upaya untuk menghapuskan kekerasan dan ketidak adilan terhadap perempuan baik yang dialami oleh anggota khususnya dan perempuan umumnya.";Jl. MH THamrin NO. 53A, Syahmad, Lubuk Pakam, Deli Serdang, Sumatera Utara;";061-7952196";hapsarisumut@gmail.com;";Konseling dengan konselor komunitas
;Konsultasi hukum
;Konseling dengan psikolog
;Mediasi
;Layanan medis
;Pendampingan hukum (Litigasi)
;Pemberdayaan Ekonomi";
27;SAPUAN (Sahabat Perempuan Anak);;Lembaga SAPUAN (Sahabat Perempuan Anak) berdiri pada tanggal 14 Maret 2015, merupakan komunitas kerelawanan  yang merdeka dan berinovasi dengan akar rumput berbasis perempuan anak melalui kegiatan pengembangan kapasitas dan pemberdayaan perempuan dan anak serta pendampingan terhadap perempuan dan anak korban kekerasan.;Jl. Kawi No. 88 RT 03/RW 02, Sukorejo, Sukorejo, Blitar, Jawa Timur;";085816312676";sahabatperempuananaksapuan@gmail.com;";Konseling dengan konselor komunitas
;Mediasi
;Pemberdayaan Ekonomi";
28;Lembaga Bantuan Hukum Asosiasi Perempuan Indonesia Untuk Keadilan Nusa Tenggara Timur (LBH APIK NTT);;"LBH APIK NTT adalah lembaga nirlaba berbentuk perkumpulan yang didirikan di Kupang pada tanggal 23 Juli 2011 melalui Akta Notaris No. 46 tertanggal 20 September 2011 dan telah terdaftar pada Kepaniteraan Pengadilan Negeri Kupang pada tanggal 22 September 2011. LBH APIK NYY Terdaftar sebagai  Badan Hukum pada tanggal 25 Juni 2014 melalui Keputusan Menteri Hukum dan Hak Asasi Manusia No. AHU-00253.60.10.2014
 
LBH APIK NTT hadir untuk memperjuangkan sistem hukum yang adil gender serta menguatkan gerakan perempuan sebagai bagian dari gerakan masyarakat sipil dalam permberdayaan hukum yang adil gender. Hal ini dicapai dengan memberikan pelayanan hukum terhadap perempuan, khususnya perempuan yang lemah secara politik, ekonomi, sosial dan budaya. Pelayanan hukum diberikan dalam bentuk konsultasi hukum, pendampingan, pembelaan untuk korban termasuk pelatihan dan pemberdayaan kepada masyarakat dan aparat penegak hukum baik dalam penanganan korban maupun upaya pencegahannya dalam rangka mewujudkan masyarakat anti kekerasan, dan juga advokasi untuk perubahan kebijakan.
 
Visi LBH APIK NTT adalah:
1. Terciptanya sistem hukum yang adil gender, yang tercermin dalam relasi kuasa baik dalam relasi personal, keluarga, masyarakat dan negara.
 
2. Menguatnya gerakan perempuan sebagai bagian dari gerakan masyarakat sipil dalam pemberdayaan hukum dan masyarakat yang adil gender
 
Misi: 
1. Melakukan pendampingan, pembelaan dan bantuan hukum bagi perempuan yang mengalami ketidakadilan  gender dalam segala bentuknya dengan menggunakan pendekatan Bantuan Hukum Gender Struktural (BHGS)
 
2. Melakukan advokasi untuk perubahan undang-undang dan kebijakan baik yang berkaitan dengan substansi hukumnya, struktur maupun budaya hukumnya serta perubahan perilaku dan praktik-praktik  di dalam masyarakat yang tidak kondusif dalam mewujudkan sistim hukum  yang berkeadilan gender.
 
3. Melakukan pengembangan sumber daya hukum masyarakat serta ikut mewujudkan akses terhadap keadilan bagi perempuan dan masyarakat miskin.
 
4. Membangun dan memperkuat jaringan kerja dengan berbagai organisasi non pemerintah dan pemerintah serta mendorong terwujudnya  kerjasama dengan berbagai organisasi yang memiliki visi misi serupa baik di tingkat local, nasional maupun internasional.
 
5. Memberikan penyuluhan hukum, pelatihan dan pemberdayaan sumber daya hukum kepada masyarakat dan aparat penegak hukum baik dalam penanganan korban maupun upaya pencegahannya.
 
6. Melakukan kajian kritis dengan perspektif gender  terhadap berbagai UU, kebijakan dan peraturan lainnya serta melakukan penyusunan, pembuatan, penyebarluasan serta pendokumentasian berbagai informasi tentang kasus-kasus yang ditangani  serta informasi mengenai cara-cara penyelesaiannya dan atau upaya pembaharuan, penegakan hak-hak perempuan lainnya.
 
7. Melakukan kegiatan-kegiatan lain yang sah  dan tidak bertentangan dengan asas, visi, misi dan nilai-nilai dasar LBH APIK Nusa Tenggara Timur dan Federasi LBH APIK Indonesia";Jl. Sam Ratulangi II nomor 33, Penkase Oeleta, Alak, Kota Kupang, Nusa Tenggara Timur;";082147243550
;081339438487";lbhapik.ntt@gmail.com;";Mediasi
;Konseling dengan psikolog
;Pemberdayaan Ekonomi
;Pendampingan hukum (Litigasi)
;Konsultasi hukum";
